Metai;Data;Vieta;Visi_ivykiai;Del_neblaiviu_vairuotoju_kaltes;Suzeistieji;Zuvusieji
2009;2009M02;Vilkaviskio r. sav.;1;1;3;7
2009;2009M02;Panevezio apskritis;24;1;27;4
2009;2009M02;Birzu r. sav.;5;0;5;3
2009;2009M02;Kupiskio r. sav.;1;0;1;0
2009;2009M02;Panevezio m. sav.;9;0;10;1
2009;2009M02;Panevezio r. sav.;5;0;6;0
2009;2009M02;Pasvalio r. sav.;1;0;1;0
2009;2009M02;Rokiskio r. sav.;3;1;4;0
2009;2009M02;siauliu apskritis;24;2;26;3
2009;2009M02;Akmenes r. sav.;2;0;2;0
2009;2009M02;Joniskio r. sav.;0;0;0;0
2009;2009M02;Kelmes r. sav.;5;0;5;1
2009;2009M02;Pakruojo r. sav.;0;0;0;0
2009;2009M02;Radviliskio r. sav.;3;1;5;1
2009;2009M02;Siauliu m. sav.;10;0;9;1
2009;2009M02;siauliu r. sav.;4;1;5;0
2009;2009M02;Taurages apskritis;8;1;10;3
2009;2009M02;Jurbarko r. sav.;3;0;2;0
2009;2009M02;Pagegiu sav.;3;1;7;1
2009;2009M02;silales r. sav.;1;0;0;1
2009;2009M02;Taurages r. sav.;1;0;1;1
2009;2009M02;Telsiu apskritis;9;0;10;1
2009;2009M02;Mazeikiu r. sav.;5;0;5;1
2009;2009M02;Plunges r. sav.;3;0;4;0
2009;2009M02;Rietavo sav.;1;0;1;0
2009;2009M02;Telsiu r. sav.;0;0;0;0
2009;2009M02;Utenos apskritis;7;1;9;0
2009;2009M02;Anyksciu r. sav.;1;0;1;0
2009;2009M02;Ignalinos r. sav.;0;0;0;0
2009;2009M02;Moletu r. sav.;1;0;1;0
2009;2009M02;Utenos r. sav.;3;1;4;0
2009;2009M02;Visagino sav.;0;0;0;0
2009;2009M02;Zarasu r. sav.;2;0;3;0
2009;2009M02;Vilniaus apskritis;48;4;49;8
2009;2009M02;Elektrenu sav.;2;0;4;0
2009;2009M02;salcininku r. sav.;1;0;1;0
2009;2009M02;sirvintu r. sav.;4;0;4;0
2009;2009M02;svencioniu r. sav.;1;1;0;1
2009;2009M02;Traku r. sav.;2;0;1;1
2009;2009M02;Ukmerges r. sav.;2;0;1;1
2009;2009M02;Vilniaus m. sav.;35;3;38;4
2009;2009M02;Vilniaus r. sav.;1;0;0;1
2009;2009M03;Lietuvos Respublika;216;24;264;17
2009;2009M03;Alytaus apskritis;7;0;8;0
2009;2009M03;Alytaus m. sav.;4;0;4;0
2009;2009M03;Alytaus r. sav.;2;0;3;0
2009;2009M03;Druskininku sav.;0;0;0;0
2009;2009M03;Lazdiju r. sav.;1;0;1;0
2009;2009M03;Varenos r. sav.;0;0;0;0
2009;2009M03;Kauno apskritis;56;3;74;1
2009;2009M03;Birstono sav.;0;0;0;0
2009;2009M03;Jonavos r. sav.;2;0;3;0
2009;2009M03;Kaisiadoriu r. sav.;0;0;0;0
2009;2009M03;Kauno m. sav.;45;1;61;0
2009;2009M03;Kauno r. sav.;3;1;2;1
2009;2009M03;Kedainiu r. sav.;2;0;2;0
2009;2009M03;Prienu r. sav.;2;0;2;0
2009;2009M03;Raseiniu r. sav.;2;1;4;0
2009;2009M03;Klaipedos apskritis;35;5;42;3
2009;2009M03;Klaipedos m. sav.;20;4;27;0
2009;2009M03;Klaipedos r. sav.;6;0;5;2
2009;2009M03;Kretingos r. sav.;2;1;1;1
2009;2009M03;Neringos sav.;0;0;0;0
2009;2009M03;Palangos m. sav.;2;0;2;0
2009;2009M03;Skuodo r. sav.;0;0;0;0
2009;2009M03;silutes r. sav.;5;0;7;0
2009;2009M03;Marijampoles apskritis;13;3;11;3
2009;2009M03;Kalvarijos sav.;2;0;1;1
2009;2009M03;Kazlu Rudos sav.;1;0;1;0
2009;2009M03;Marijampoles sav.;6;1;6;0
2009;2009M03;Marijampoles r. sav.;0;0;0;0
2009;2009M03;sakiu r. sav.;3;2;3;1
2009;2009M03;Vilkaviskio r. sav.;1;0;0;1
2009;2009M03;Panevezio apskritis;16;0;20;0
2009;2009M03;Birzu r. sav.;1;0;1;0
2009;2009M03;Kupiskio r. sav.;1;0;1;0
2009;2009M03;Panevezio m. sav.;8;0;8;0
2009;2009M03;Panevezio r. sav.;4;0;8;0
2009;2009M03;Pasvalio r. sav.;2;0;2;0
2009;2009M03;Rokiskio r. sav.;0;0;0;0
2009;2009M03;siauliu apskritis;25;5;33;3
2009;2009M03;Akmenes r. sav.;1;0;0;1
2009;2009M03;Joniskio r. sav.;3;2;3;0
2009;2009M03;Kelmes r. sav.;0;0;0;0
2009;2009M03;Pakruojo r. sav.;1;0;1;1
2009;2009M03;Radviliskio r. sav.;3;0;2;1
2009;2009M03;Siauliu m. sav.;15;2;22;0
2009;2009M03;siauliu r. sav.;2;1;5;0
2009;2009M03;Taurages apskritis;5;2;5;0
2009;2009M03;Jurbarko r. sav.;0;0;0;0
2009;2009M03;Pagegiu sav.;0;0;0;0
2009;2009M03;silales r. sav.;2;1;2;0
2009;2009M03;Taurages r. sav.;3;1;3;0
2009;2009M03;Telsiu apskritis;9;0;11;1
2009;2009M03;Mazeikiu r. sav.;2;0;3;0
2009;2009M03;Plunges r. sav.;2;0;3;0
2009;2009M03;Rietavo sav.;2;0;2;0
2009;2009M03;Telsiu r. sav.;3;0;3;1
2009;2009M03;Utenos apskritis;3;0;8;0
2009;2009M03;Anyksciu r. sav.;0;0;0;0
2009;2009M03;Ignalinos r. sav.;0;0;0;0
2009;2009M03;Moletu r. sav.;1;0;1;0
2009;2009M03;Utenos r. sav.;1;0;6;0
2009;2009M03;Visagino sav.;0;0;0;0
2009;2009M03;Zarasu r. sav.;1;0;1;0
2009;2009M03;Vilniaus apskritis;47;6;52;6
2009;2009M03;Elektrenu sav.;2;0;2;0
2009;2009M03;salcininku r. sav.;1;0;1;0
2009;2009M03;sirvintu r. sav.;1;0;1;0
2009;2009M03;svencioniu r. sav.;0;0;0;0
2009;2009M03;Traku r. sav.;6;3;7;3
2009;2009M03;Ukmerges r. sav.;1;0;0;1
2009;2009M03;Vilniaus m. sav.;36;3;41;2
2009;2009M03;Vilniaus r. sav.;0;0;0;0
2009;2009M04;Lietuvos Respublika;308;36;353;27
2009;2009M04;Alytaus apskritis;11;4;12;1
2009;2009M04;Alytaus m. sav.;1;0;1;0
2009;2009M04;Alytaus r. sav.;5;3;6;0
2009;2009M04;Druskininku sav.;1;1;1;0
2009;2009M04;Lazdiju r. sav.;0;0;0;0
2009;2009M04;Varenos r. sav.;4;0;4;1
2009;2009M04;Kauno apskritis;90;9;101;9
2009;2009M04;Birstono sav.;0;0;0;0
2009;2009M04;Jonavos r. sav.;6;1;4;3
2009;2009M04;Kaisiadoriu r. sav.;7;2;8;3
2009;2009M04;Kauno m. sav.;60;5;68;0
2009;2009M04;Kauno r. sav.;10;1;12;1
2009;2009M04;Kedainiu r. sav.;2;0;3;0
2009;2009M04;Prienu r. sav.;2;0;2;0
2009;2009M04;Raseiniu r. sav.;3;0;4;2
2009;2009M04;Klaipedos apskritis;36;4;48;4
2009;2009M04;Klaipedos m. sav.;19;3;23;0
2009;2009M04;Klaipedos r. sav.;9;0;16;1
2009;2009M04;Kretingos r. sav.;3;1;1;3
2009;2009M04;Neringos sav.;0;0;0;0
2009;2009M04;Palangos m. sav.;1;0;1;0
2009;2009M04;Skuodo r. sav.;1;0;1;0
2009;2009M04;silutes r. sav.;3;0;6;0
2009;2009M04;Marijampoles apskritis;25;1;31;0
2009;2009M04;Kalvarijos sav.;3;0;5;0
2009;2009M04;Kazlu Rudos sav.;1;0;1;0
2009;2009M04;Marijampoles sav.;12;1;15;0
2009;2009M04;Marijampoles r. sav.;0;0;0;0
2009;2009M04;sakiu r. sav.;5;0;5;0
2009;2009M04;Vilkaviskio r. sav.;4;0;5;0
2009;2009M04;Panevezio apskritis;27;2;27;4
2009;2009M04;Birzu r. sav.;2;0;2;0
2009;2009M04;Kupiskio r. sav.;3;0;3;3
2009;2009M04;Panevezio m. sav.;11;1;11;0
2009;2009M04;Panevezio r. sav.;4;0;4;1
2009;2009M04;Pasvalio r. sav.;0;0;0;0
2009;2009M04;Rokiskio r. sav.;7;1;7;0
2009;2009M04;siauliu apskritis;27;5;30;0
2009;2009M04;Akmenes r. sav.;3;1;3;0
2009;2009M04;Joniskio r. sav.;2;2;3;0
2009;2009M04;Kelmes r. sav.;2;0;2;0
2009;2009M04;Pakruojo r. sav.;0;0;0;0
2009;2009M04;Radviliskio r. sav.;5;1;5;0
2009;2009M04;Siauliu m. sav.;13;1;14;0
2009;2009M04;siauliu r. sav.;2;0;3;0
2009;2009M04;Taurages apskritis;6;2;7;0
2009;2009M04;Jurbarko r. sav.;1;0;1;0
2009;2009M04;Pagegiu sav.;0;0;0;0
2009;2009M04;silales r. sav.;2;1;2;0
2009;2009M04;Taurages r. sav.;3;1;4;0
2009;2009M04;Telsiu apskritis;17;1;21;4
2009;2009M04;Mazeikiu r. sav.;6;0;9;0
2009;2009M04;Plunges r. sav.;2;0;1;1
2009;2009M04;Rietavo sav.;2;0;5;0
2009;2009M04;Telsiu r. sav.;7;1;6;3
2009;2009M04;Utenos apskritis;11;5;12;2
2009;2009M04;Anyksciu r. sav.;4;2;4;0
2009;2009M04;Ignalinos r. sav.;1;1;1;0
2009;2009M04;Moletu r. sav.;2;1;2;1
2009;2009M04;Utenos r. sav.;0;0;0;0
2009;2009M04;Visagino sav.;1;0;1;0
2009;2009M04;Zarasu r. sav.;3;1;4;1
2009;2009M04;Vilniaus apskritis;58;3;64;3
2009;2009M04;Elektrenu sav.;4;1;4;1
